docid,author,shorttitle,enumcron,firstpub,genres,subjects,allcopiesofwork,tags
mdp.39015059178981,"Deaver, Jeffery",Garden of beasts : a novel of Berlin 1936,,2004,Suspense fiction|Novel|Historical fiction,Assassins|Criminals|1933-1945|1918-1945|Fiction|History,1,Suspense
mdp.39015058799647,,Bend sinister : the Gay Times book of disturbing stories,,2002,Short stories|Horror fiction,"Fiction|Gay men|Gay men's writings, English|Horror tales, English",1,Subj: Horror B
mdp.39015066796411,"O'Farrell, Maggie",The vanishing act of Esme Lennox,,2006,Domestic fiction|Fiction,Edinburgh|Scotland|India|Fiction|Sisters,1,Domestic
mdp.39015056248670,"Meyer, Carolyn",Brown eyes blue : a novel,,2003,Fiction,Nude in art|Fiction|Older women|Mothers and daughters|Women painters|Middle-aged women,1,randomA
pst.000018854527,"McKillip, Patricia A",Harpist in the wind,1980,1979,NotFiction|Fantastic fiction,Wizards|Fantasy|Juvenile fiction,1,Subj: Fantasy B|Fantasy|Subj: Juvenile-Not-Juvenile
mdp.39015029269423,"Cheever, Benjamin",The plagiarist : a novel,,1992,Humorous stories|Fiction,Marriage|Fathers and sons|United States|Fiction|Journalists,2,Humor-Not-Mystery
mdp.39015069351834,"Roberts, Adam (Adam Charles)",Gradisil,,2007,Fiction|Science fiction,Space flight|Fiction|Twenty-first century|Revenge|Space colonies,1,SF
mdp.39015078787580,"Tallis, Frank",Darkness rising,,2009,Novel|Detective and mystery stories,"Psychoanalysts|Austria|Fiction|Police|Vienna|Liebermann, Max (Fictitious character)",1,Novel
mdp.39015003900720,"Lem, Stanisław",The cosmic carnival of Stanisław Lem : an anthology of entertaining stories by the modern master of science fiction,,1981,Fiction,"Science fiction, Polish|Translations into English",1,"Subj: SF, Other"
uc1.32106017934859,"McMillan, Terry",The interruption of everything,,2005,Domestic fiction|Psychological fiction|Fiction,Married women|Fiction|Self-realization|African American women|African American families|Suburban life,2,Psychological
uc1.32106014577982,"Peretti, Frank E",Piercing the darkness,,1989,Allegories|Fiction|Christian fiction,,1,Christian
uc1.$b299914,"Curwood, James Oliver",The Black Hunter; a novel of old Quebec,,1926,Fiction,"French and Indian War, 1755-1763|Fiction|History",1,Subj: History B
mdp.39015049208757,"Sykes, Christopher","Character & situation, six short stories",,1949,Short stories|NotFiction,,2,Short stories B
wu.89060403441,"Millet, Pierre",Captivity among the Oneidas in 1690-91 of Father Pierre Milet of the Society of Jesus,,1897,NotFiction,"Oneida Indians|King William's War, 1689-1697|Indian captivities|Personal narratives|History",1,Subj: History B
mdp.39076002287659,"Gardner, Lillian",Sal Fisher at Girl Scout Camp,,1959,Juvenile audience|Fiction,Girl Scouts|Camps|Camping|Juvenile fiction,1,Juvenile
mdp.39076002197718,"Strickland, Harold H",Juggernaut of the Rangers,,1946,Juvenile audience|Fiction,War use|Juvenile fiction|Dogs,1,Subj: Juvenile
mdp.39015030765104,,Selected English short stories (XIX and XX centuries),,1927,UnknownGenre,"Short stories, English|Short stories, American",1,"Subj: Short stories, Other"
osu.32435066781154,"Howard, Warren",Gallant refuge,,1940,Love stories|Fiction,Women|Fiction|Conduct of life|Man-woman relationships,1,Love B
mdp.39015032211008,"Hitchcock, Jane Stanton",The Witches' hammer,,1994,Fiction|Detective and mystery stories,Collectors and collecting|Fiction|New York|Rare books|New York (State)|Man-woman relationships|Paranormal fiction,1,randomB
nyp.33433075813109,Pigault-Lebrun,"Theodore, or The Peruvians;",,1825,Fiction,French fiction,1,randomA
pst.000024875127,"Brown, Cassie",A winter's tale : the wreck of the Florizel,,1976,NotFiction,Shipwrecks|Florizel (Ship)|Newfoundland and Labrador,1,randomB
inu.30000118310592,"Arndt, Ernst Moritz",Fairy tales from the Isle of Rügen,,1896,UnknownGenre,Rügen Island|Germany|Folklore|Fairy tales,2,Subj: Fairy tales
mdp.39015062584837,"Lurie, Alison",Truth and consequences : a novel,,2005,Fiction|College stories|Domestic fiction|Psychological fiction,Married people|Fiction|Wounds and injuries|Chronic pain|College teachers|Patients|Older people|Back,2,Domestic|Psychological B
mdp.39015066068613,"Conrad, Joseph",The secret agent; a simple tale,,1916,Political fiction|NotFiction|Novel|Bibliographies|Fiction|Spy stories|UnknownGenre,Royal Greenwich Observatory|Conspiracies|Bombings|Anarchists|Fiction,13,Political
mdp.39015055471067,"Ṭāhir, Bahāʼ",Love in exile,,2001,Fiction,,2,randomB
mdp.39015059376734,"Colby, Merle",All ye people,,1931,NotFiction,Fiction|Frontier and pioneer life|History|Ohio,2,Subj: History-Not-War
mdp.39015002757121,"Sansom, William","Something terrible, something lovely",,1948,Short stories|Fiction,,3,Short stories B
inu.30000102938549,"Masterson, Richard",Salisbury : Civil War death camp in North Carolina,,2005,Biographical fiction|War stories|Fiction,"Civil War, 1861-1865|Fiction|Read, James E|Prisoners and prisons|Prisoners of war|History|History",1,War|Biographical
mdp.39015013950681,,Modern Indian short stories,,1983,Fiction,"Short stories, Indic (English)",2,"Subj: Short stories, Other B"
mdp.39015017429088,"Koontz, Dean R. (Dean Ray)",Dark rivers of the heart : a novel,,1994,Fiction|Political fiction,Government investigators|Conspiracies|Fiction|Political crimes and offenses,1,Political
mdp.39015079340884,"Rogers, John",Marriage secrets,,2008,Humorous stories|Suspense fiction|Novel,Fiction,1,Novel B|Humor B|Suspense B
uc1.32106019033940,,Bengal partition stories : an unclosed chapter,,2006,Bibliographies|Short stories,"Short stories, Bengali|Fiction|History|Translations into English|Partition, 1947",2,Short stories B
inu.30000110584020,"Binchy, Chris",Open-handed,,2008,Novel,Ireland|Dublin|Fiction|Social life and customs|East Europeans|Irish,1,Novel B
uc1.32106014678723,,Does the sun rise over Dagenham? : and other stories : new writing from London : [with stories,,1998,Fiction,"London|English fiction|England|Short stories, English|Fiction|20th century",2,"Subj: Short stories, Other"
mdp.39015029273060,"Quignard, Pascal",All the world's mornings,,1992,Fiction|Biographical fiction|Musical fiction,"sieur de|France|1656-1728|Sainte-Colombe|Fiction|Viol players|fl. 1640-1690|Marais, Marin|Composers",2,Biographical
mdp.39015054289726,"Brockmeier, Kevin",Things that fall from the sky,,2002,Fiction,"Fantasy fiction, American|Psychological fiction, American",1,Subj: Fantasy B
mdp.39015078797662,"Smallwood, Bill","Lives of courage, 1912-1932",,2008,Novel,"Histoire|Fiction|Romans, nouvelles, etc|History|20e siècle|20th century",1,randomB
mdp.39015031228631,"Davis, Fitzroy",Quicksilver,,1942,Fiction,,2,randomA
mdp.39015062567964,"Jefferson, Roland S",Damaged goods : a novel,,2005,Fiction|Adventure fiction,Thieves|Ex-convicts|Fiction,1,Adventure
mdp.49015001473900,"Brite, Poppy Z",Drawing blood,,1993,Horror tales|Fiction,Filicide|Cartoonists|Fiction|North Carolina,1,Horror
mdp.39015009044689,"Čapek, Karel","Fairy tales, with one extra as a makeweight",,1933,UnknownGenre,Fairy tales,1,Subj: Fairy tales B
mdp.39015077610189,"Seymour, Gerald",The walking dead,,2008,Suspense fiction|Fiction,Suicide bombers|Fiction,1,Suspense B
mdp.39076000948484,,Sword and sorceress : an anthology of heroic fantasy,v.4,1984,Fiction,Fantasy fiction,1,Subj: Fantasy
mdp.39015012994797,"Mauriac, François",The knot of vipers,,1986,Fiction,,1,randomB
mdp.39015068801565,"Howell, Anthony, 1945-",Oblivion,,2007,UnknownGenre,,1,randomB
mdp.39015062522613,"Temple, Loranne Marsh",Coming to you from the Blue Room : stories,,2004,Short stories,"Family relationships|Youth|Southern States|Fiction|Short stories, American",1,Short stories
uc1.$b395267,"M'Imanyara, Alfred M",Agony on a hide,,1973,Fiction,,2,randomA
njp.32101067708063,"Bennett, Mary E","The cottage girl; or, An account of Ann Edwards",,1818,Juvenile audience|Fiction,,1,Juvenile B
mdp.39015056651980,"Scott, Munroe",The liberators,,2001,Fiction,"Rebellion, 1837-1838|History|Fiction",1,Subj: History B
wu.89099774937,"Cole, Ira Albert",Ibe of Atlan,,1947,Western stories|NotFiction,,1,Western
pst.000025786125,,Space movies :  classic science fiction films,,1995,NotFiction,"English fiction|American fiction|Science fiction, English|Science fiction, American|20th century",1,"Subj: SF, Other B"
mdp.39015020452689,"Blair, Dorian",Russian hazard : the adventures of a British secret service agent in Russia,,1937,NotFiction,"Secret service|Great Britain|History|Spies|Revolution, 1917-1921|Personal narratives",1,Subj: History B
mdp.39015063223633,"Cheng, Terrence",Sons of heaven : a novel,,2002,Political fiction|Fiction|Bildungsromans|Historical fiction,"Tiananmen Square Incident, 1989|History|Fiction",1,Historical|Political
mdp.39015077135906,"Robinson, John B",A fistful of diamonds : a gemstone thriller,,2008,Suspense fiction|Fiction,Fiction|Rwanda|Americans|Diamond industry and trade,1,Suspense B
inu.30000110566167,"Liang, Diane Wei",Paper butterfly,,2008,Novel|Detective and mystery stories,Beijing|Women private investigators|Investigation|Fiction|Missing persons|China,1,randomA|Novel
mdp.39015017665772,,Tesseracts,,1985,Fiction,"Science fiction, Canadian|Canadian fiction|20th century",1,"Subj: SF, Other B"
mdp.39015022248846,"Alvarez Gardeazábal, Gustavo",Bazaar of the idiots,,1991,Humorous stories|Fiction,,1,Humor B
mdp.39015012896208,"Wells, H. G. (Herbert George)",The island of Dr. Moreau,,1966,Novel|Bibliographies|Fiction|Science fiction|NotFiction,Island of Dr. Moreau (Motion picture)|Animal experimentation|Fiction,3,SF
pst.000006569464,"Aldiss, Brian Wilson",Galactic empires,v.1,1979,NotFiction,"Science fiction, American|Science fiction, English",2,"Subj: SF, American B|Subj: SF, Other B"
mdp.39015034443492,"Roth, Philip",Sabbath's theater,,1995,Humorous stories|Psychological fiction|Fiction,Middle-aged men|Fiction,2,Humor B
mdp.39015043790404,"Thompson, Jean",Who do you love : stories,,1999,Fiction,Social life and customs|Fiction|20th century,1,randomA
mdp.39015020692649,"McMurtry, Larry","Horseman, pass by",,1979,Domestic fiction|Western stories|Fiction|Bildungsromans,Fiction|Ranch life|Conflict of generations,2,Western
mdp.39015037757898,"Snyder, Keith",Show control : a mystery,,1996,Fiction|Detective and mystery stories,Musicians|Fiction,1,Mystery-Not-Subj: Detective|Mystery B
mdp.49015000996992,,Tales of the Cthulhu mythos,,1990,Fiction,"Horror tales, American|Horror tales, English",1,Subj: Horror B
mdp.39076002700412,"Custer, Elizabeth Bacon",The boy general : story of the life of Major-General George A. Custer,,1901,Juvenile audience|NotFiction,"1839-1876|(George Armstrong)|Indians of North America|Custer, George A|Frontier and pioneer life|Juvenile literature|1866-1895|Wars|West (U.S.)",1,Subj: Juvenile B
pst.000058697054,"Brunstetter, Wanda E",The hope chest,,2006,Novel|Love stories|Christian fiction,Fiction|Amish,1,Christian
mdp.39015029941609,"Smith, Rosamond",Snake eyes,,1992,Horror tales|Fiction,,1,Horror
mdp.39015060064485,"Acito, Marc","How I paid for college : a novel of sex, theft, friendship & musical theater",,2004,Humorous fiction|Novel|Bildungsromans,Study and teaching|Acting|Amateur theater|Teenage boys|High school students|College and school drama|Fiction|Fund raising|Tuition|Friendship,1,Humor|Bildungsroman
mdp.39015060078972,"Pak, Gary",Children of a fireland : a novel,,2004,Novel|Suspense fiction,Graffiti|Fiction|Motion picture theaters,1,Suspense
mdp.39015050277683,"Brickhill, Paul",The dam busters,,1955,NotFiction,"Royal Air Force|Great Britain|Aerial operations, British|Squadron, 617|617  Squadron|Royal Air Force.|World War, 1939-1945",2,randomA
mdp.39015016424064,"Markey, Gene",Kentucky pride,,1956,Fiction,,1,randomB
osu.32435050799675,"Burt, Katharine Newlin",The tall ladder,,1932,Fiction,,1,randomA
mdp.39015011600825,"Conroy, Jack",Midland humor; : a harvest of fun and folklore,,1947,NotFiction,American wit and humor,1,Subj: Humor
mdp.39015034285349,"Smith, Patrick",An unmarried man,,1994,Fiction,France|Riviera|Fiction|Man-woman relationships|Irish,1,Subj: Man-woman
njp.32101041070150,"Opie, Amelia Alderson","Temper, or, Domestic scenes : a tale",vol.1,1827,Fiction,,1,randomB
mdp.39015058908586,"Akamatsu, Ken",Love Hina,v.5 2002,2002,"Graphic novels|Fiction|Comic books, strips, etc","Comic books, strips, etc|Teenagers|Japan|Dormitories",2,randomB
mdp.39015029964536,"Colegate, Isabel",The summer of the royal visit,,1992,Fiction|Historical fiction,,1,Historical
mdp.39015058738835,"Berger, Thomas",Adventures of the artificial woman : a novel,,2004,Novel|Psychological fiction|Science fiction,Robots|Robotics|Artificial intelligence|United States|Women|Fiction|Man-woman relationships|Political activity,1,SF
mdp.49015000987751,,The Altered I,,1978,NotFiction,"Science fiction, Australian|Fredrica Bartz Modern Fiction Collection|Congresses|Authorship|Science fiction, American|Science fiction",1,"Subj: SF, Other B|Subj: SF, American"
mdp.39015066683346,"Aniebo, I. N. C",The anonymity of sacrifice,,1974,Fiction,"Civil War, 1967-1970|Fiction|History",1,randomA
mdp.39015028433491,"Tarchetti, Iginio Ugo",Fantastic tales,,1992,Horror tales|Short stories|Fiction,,1,Horror
mdp.39015032254016,"Hillmer, Timothy",The hookmen,,1994,Bildungsromane|Adventure stories|Fiction,Navigation|Fathers and sons|Park rangers|Young men|Fiction|California|Kern River Valley|Fiction|Man-woman relationships,1,Adventure|Subj: Man-woman|Bildungsroman
mdp.39015064099370,"Moorcock, Michael","Elric, the stealer of souls",,1998,Fantastic fiction|Novel|Epic fiction,,1,Fantasy B
osu.32435064824303,"Myers, Virginia",Escape from Morales : a Gold medal original,,1953,Suspense fiction|Fiction,,1,Suspense
mdp.39015042566888,"Hoffman, Alice",The river king,,2000,Psychological fiction|Fiction|Detective and mystery stories,Fiction|Massachusetts|Police|Preparatory school students,1,Mystery
mdp.39015070462364,"Summers, Hollis Spurgeon","Kentucky story, a collection of short stories",,1954,Fiction,"Kentucky|Short stories, American",2,"Subj: Short stories, American"
mdp.39015062578078,"Gün, Güneli","On the road to Baghdad : a picaresque novel of magical adventures, begged, borrowed, and stolen from the Thousand and one nights",,1991,Novel,Fiction,1,Novel B
mdp.39015066769749,"Macomber, Debbie",Christmas letters,,2006,Fiction,Washington (State)|Women|Fiction,1,randomA
nyp.33433074873435,"Lauder, Harry, Sir",Ten tales,,1908,Fiction|Humorous fiction,,1,Humor
uiuo.ark+=13960=t9t15qw1s,"Dickens, Charles",Bleak house,v.2,1852,Legal stories|NotFiction|Bibliographies|Fiction|Bildungsromans|Didactic fiction|Domestic fiction|ContainsBiogMaterial,"Illegitimate children|Dickens, Charles|Inheritance and succession|Fiction|London (England)|Social problems|Young women|Guardian and ward|1812-1870",41,Bildungsroman
nyp.33433076022247,"Spears, John Randolph","The port of missing ships, and other stories of the sea",,1897,NotFiction,,1,randomA
wu.89090350869,"Brown, John Mason","Insides out,: being the saga of a drama critic who attended his own opening",,1942,Fiction,"Operations, Surgical|Medicine|Anecdotes|Humor",2,Subj: Humor
mdp.39015061147271,,More stories we tell : the best contemporary short stories by North American women,,2004,Short stories,"United States|Women|Women authors|Canadian fiction|Social life and customs|Fiction|American fiction|Canada|Short stories, Canadian",1,randomA
uc2.ark+=13960=t8rb6x213,"Hermann, I. (Isaac)",Memoirs of a veteran who served as a private in the 60's in the war between the states;,,1911,,"Personal narratives, Confederate|United States|IsBiographical|Civil War, 1861-1865|History",2,randomB
njp.32101068152931,"Haggard, H. Rider (Henry Rider)",She : a history of adventure,,1919,Novel|Bibliographies|Love stories|Fiction|UnknownGenre|Fantasy fiction,Women|Adventure stories|Immortalism|Africa|Fiction|Ayesha (Fictitious character : Haggard)|Reincarnation,9,Love|Fantasy-Not-SF
nyp.33433074876511,"Kernahan, Coulson",The Dumpling; a detective love story of a great labour rising,,1907,Mystery fiction|Fiction,,1,Mystery
mdp.39015074297832,"Sandford, John",Dark of the moon,,2007,Suspense fiction|Mystery fiction|Fiction,Fiction|Murder|Investigation,1,Suspense
mdp.39015066188908,"Thackeray, William Makepeace",The works of William Makepeace Thackeray,v.8,1901,NotFiction,,1,randomB
mdp.39015034024367,"Iyer, Pico",Cuba and the night : a novel,,1995,Love stories|Fiction,Fiction|Cuba|Photographers|Havana|Man-woman relationships,1,Subj: Man-woman B
mdp.39015069174434,,The disciples of Cthulhu,,1996,Horror fiction|Fantastic fiction|Short stories,"Horror tales, American|Horror tales, English",1,Fantasy B|Horror-Not-Western
uc1.$b604985,"Van Doren, Mark",The night of the summer solstice & other stories of the Russian war,,1943,NotFiction,"English fiction|Fiction|Russian fiction|Translations into English|World War, 1939-1945|Translations from Russian",2,randomB
mdp.39015030708815,,"Best American stories, 1919-1924;",v.2,1926,NotFiction,"Short stories, American",1,"Subj: Short stories, American"
mdp.39015059557176,,Dinarzad's children : an anthology of contemporary Arab American fiction,,2004,Bibliographies|Short stories,"21st century|Arab Americans|American fiction|Fiction|Arab American authors|Short stories, American|20th century",1,"Subj: Short stories, American"
inu.30000001265085,,Fifty years of the best science fiction from Analog,,1980,Fiction,Science fiction,1,"Subj: SF, Other"
mdp.39015061161256,"Minco, Marga",An empty house,,1990,Novel,Man-woman relationships|Fiction|Netherlands,1,Subj: Man-woman
mdp.39015079360247,"Lowry, Lois",Gooney the fabulous,,2009,Fiction|Humorous fiction,Fiction|Fables|Humorous stories|Creative writing|Juvenile fiction|Schools,1,Humor B
uc1.b3547063,,A Century of humour,,1900,NotFiction,English wit and humor,1,Subj: Humor
uc1.b3477285,"Aldiss, Brian Wilson",The Penguin science fiction omnibus : an anthology,,1973,Fiction,"Science fiction, American|Science fiction, English",1,"Subj: SF, American B|Subj: SF, Other"
uc2.ark+=13960=t17m04b4h,"MacGowan, Alice",The million-dollar suitcase,,1922,NotFiction|Fiction|Mystery fiction,San Francisco|Private investigators|Investigation|Murder|Fiction|California,2,Mystery
uc1.31158004733423,"Pu, Songling",Strange stories from the lodge of leisures,,1913,Fiction,Ghosts,1,randomB
uc2.ark+=13960=t3513vm5g,"Dickinson, Sidney",True tales of the weird;,,1920,,Ghosts,2,Subj: Horror
inu.30000111198036,"Hamilton-Paterson, James",Amazing disgrace,,2006,Humorous stories|Fiction,Tuscany|Italy|Fiction|Ghostwriters,1,Humor
mdp.39015062825537,"Gemmell, David",Troy : lord of the silver bow,,2005,Fiction|Historical fiction,Fiction|Trojan War,2,Historical
mdp.39015047566503,"Maillard, Keith",Gloria,,1999,Bibliographies|Fiction|Bildungsromans,Young women|Fiction,2,Bildungsroman B
uc1.b4218035,,"Half-hours with great humorists : Artemus Ward, George Macdonald, Max Adeler, Samuel Lover and others",,1901,NotFiction,American wit and humor|English wit and humor,1,Subj: Humor B
mdp.39015018468408,"Roberts, Garyn G",Old Sleuth's freaky female detectives : from the dime novels,,1990,Fiction,"Women in literature|Detective and mystery stories, American",1,Subj: Detective
mdp.39076002495922,"Howard, Elizabeth",Dorinda,,1944,Fiction,Family relationships|Teenage girls|Illinois|Country life|Juvenile fiction,1,Subj: Juvenile
mdp.39015060005611,"Averill, Thomas Fox",The slow air of Ewan MacPherson,,2003,Love stories|Fiction|Domestic fiction|Psychological fiction,History teachers|Children of immigrants|Fathers and sons|Fiction|Scottish Americans,1,Psychological B
mdp.39015051760455,"Iyer, Suguna",The evening gone,,2001,Novel,"Social change|Fiction|Families|Research|Nobel Prizes|India, South",1,Novel B
mdp.39015043791261,"Sandford, John",Certain prey,,1999,Fiction|Detective and mystery stories,"Minnesota|Fiction|Davenport, Lucas (Fictitious character)|Private investigators|Minneapolis",1,Mystery B
nyp.33433082303524,"Gates, Josephine Scribner",Sunshine Annie,,1910,Juvenile audience|NotFiction,"Children's stories, American",1,Subj: Juvenile
mdp.39015058239735,"McDevitt, Jack",Omega,,2003,Novel|Science fiction,Life on other planets|Fiction,1,SF
uc1.b3884458,,Universe 13,,1983,Fiction,"Science fiction, American|Science fiction, English",1,"Subj: SF, Other"
mdp.39015060886549,"Hemmings, Kaui Hart",House of thieves,,2005,Short stories,Fiction|Social life and customs|Teenagers|Upper class families,1,Short stories B
mdp.39015019442162,"Mortimer, John",Titmuss regained,,1990,Humorous stories|Fiction|Political fiction|NotFiction,Rapstone Valley (England : Imaginary place)|England|Fiction|Politicians,2,Political
wu.89056288822,"Ager, Waldemar",On the way to the melting pot : a novel,,1995,Domestic fiction|Fiction,Fiction|Norwegion-Americans,1,Domestic
mdp.39015040365093,"Reidy, Sue",The visitation,,1997,Fiction|Bildungsromane,"Apparitions and miracles|Teenage girls|Catholics|Fiction|Sexual orientation|New Zealand|Mary|Blessed Virgin, Saint",1,Bildungsroman B
mdp.39015063551058,"Gribble, Leonard R. (Leonard Reginald)",The case of the Marsden rubies,,1930,Fiction,,1,randomA
mdp.39015041745285,"Fahey, Todd Brendan",Wisdom's maw : the acid novel,,1995,Fiction|Political fiction,Nineteen sixties|United States|Politics and government|Fiction|Fiction|1945-1989|Central Intelligence Agency,1,Political
inu.30000109149116,"Lippi, Rosina",Tied to the tracks,,2006,Humorous fiction|Fiction|College stories,Production and direction|Fiction|African American women authors|Women motion picture producers and directors|Documentary films,1,Humor B
